SkillID;EmployeeID;SkillName
1;1;Java Development
2;2;Python Programming
3;3;Database Management
4;4;Human Resources
5;5;Marketing Strategy
6;6;Database Administration
7;7;Product Management
8;8;Customer Support
9;9;Quality Assurance
10;10;Administrative Tasks
11;11;Java Development
12;12;Python Programming
13;13;Database Management
14;14;Human Resources
15;15;Marketing Strategy
16;16;Database Administration
17;17;Product Management
18;18;Customer Support
19;19;Quality Assurance
20;20;Administrative Tasks
